% Twitter Data
@RELATION tweets

@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE vader_polarity NUMERIC
@ATTRIBUTE text STRING
@ATTRIBUTE negative_words NUMERIC
@ATTRIBUTE O NUMERIC
@ATTRIBUTE V NUMERIC
@ATTRIBUTE D NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE N NUMERIC
@ATTRIBUTE "," NUMERIC
@ATTRIBUTE ^ NUMERIC
@ATTRIBUTE L NUMERIC
@ATTRIBUTE ~ NUMERIC
@ATTRIBUTE @ NUMERIC
@ATTRIBUTE U NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE E NUMERIC
@ATTRIBUTE ! NUMERIC
@ATTRIBUTE & NUMERIC
@ATTRIBUTE R NUMERIC
@ATTRIBUTE # NUMERIC
@ATTRIBUTE G NUMERIC
@ATTRIBUTE T NUMERIC
@ATTRIBUTE M NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE S NUMERIC
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE Y NUMERIC

@DATA
0,109,pro_romney,0,'naomiaklein u n address wikileak julian assang urg obama admin end regim secreci democracynow',0,1,2,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
0,66,pro_obama,0,'new post obama romney rake million small dollar donat',0,0,1,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,132,pro_obama,0,'ingrahamangl feel romney media bash amp bia might done might much 2 overcom',2,3,8,3,1,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,63,pro_romney,0,'rahn vote obama vote recess washington time',1,0,1,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,pro_obama,0,'romney amp obama stock market killer economi',0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103,pro_obama,0,'capflowwatch us govt employe among top campaign contributor obama tcot taker vs maker',0,1,1,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,104,pro_obama,0,'abcmsaj dloesch screencap obama campaign ladypart tumblr gt gt see noth wrong thi ?',1,2,1,1,1,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,119,pro_obama,0,'seanhann obama said mr romney good debat 1000 h wood fiction writer make obama look like masterbat',1,0,4,2,1,4,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,126,pro_obama,0,'kasinca bjhare dailyko supris r romney tri find someth even cre',0,1,7,2,0,3,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
1,127,pro_obama,0,'grainofsand romney ha idea hell talk debat gonna like watch snl skit obama play',1,1,7,4,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,109,pro_romney,0,'loudobbsnew reckless obama admin diplomat ask repeatedli secur befor libya attack fox news',2,0,1,0,2,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,133,pro_romney,0,'chucknelli realiz obama tell defens contractor issu pink slip til 11 7 offer cover legal issu',2,1,7,1,2,4,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
1,61,pro_obama,0,'itsblackstewi mitt romney might well vote obama',0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,74,pro_obama,0,'fuck ndaarul thank obama may sway vote',0,2,6,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,128,pro_romney,0,'loudobbsnew nation media refus vet obama 2008 better hope romney gop strong enough take obama record amp',1,0,2,0,3,6,0,4,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
0,131,pro_romney,0,'notcommonfact presid obama wa known heavi marijuana smoker hi teen colleg day hi nicknam allegedli use',0,0,4,2,2,5,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,103,pro_romney,0,'charlesdharapak look worker chipotl pose mitt romney dure lunch stop denver via ap!',0,0,3,0,0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,83,pro_romney,0,'kelso_parodi obama realli like coca cola fox news obama declar war pepsi',0,1,2,1,0,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,105,pro_obama,0,'mitt romney bain capit ship job china right profit watch thi video',0,1,4,1,0,3,0,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1,84,pro_romney,0,'redsteez wonder gabbi gifford think obama bullet analog newcivilton',0,2,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,128,pro_obama,0,'noltenc hi howardkurtz would love link yer noth see stori romney prep school bulli amp perri 25',1,0,3,1,1,6,0,3,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0
2,126,pro_obama,0,'supermanhotmal hey romney want peopl like give money plan parenthood well think not?',0,3,5,2,0,3,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
1,120,pro_obama,0,'im laugh think obama better romney suck rule castro know wassup',1,6,8,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,98,pro_romney,0,'libertylynx abcnew obama pander anim slaughter innoc name god',2,2,2,1,0,4,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,34,pro_romney,0,'conserv seiz obama video',0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,127,pro_romney,0,'howardkurtz boy report sure lousi job cover 2007 obama speech wa deliv front tv camera',1,0,4,2,2,7,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,80,pro_obama,0,'mit romney wa get pay somehow within 28 year call bs thatsjustm',1,1,4,1,0,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,134,pro_obama,0,'girafff respect someon go vote romney doesnt even know hi full name mittin gonzalez romney iii',0,4,6,2,1,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,127,pro_romney,0,'crush dont americannot limbaugh said slip mind becaus look obama tcot ?',1,6,8,2,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,119,pro_romney,0,'reagancoalit articl elect 2008 interview cnn shock black wont vote obama fastandfuri cspan2012',1,0,3,1,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,100,pro_obama,0,'richard never work meet richard hay pick mitt romney trash 1u p2 via afscm',1,1,4,0,0,2,0,6,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,100,pro_obama,0,'olddog_1946 parti voter fraud 1000 fake republican regist romney amp gop !',2,0,2,1,1,4,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,39,pro_romney,0,'matalin ann romney soul campaign',0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,113,pro_romney,0,'dont normal agre w biden right middl class buri last four year obama outfrontcnn msnbc',0,0,3,1,2,3,0,2,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0
1,109,pro_obama,0,'liliaep pb star jim lehrer fair romney want zero pb subsidi presidentiald ?',0,1,4,1,1,2,1,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,129,pro_obama,0,'soopermexican ani white conserv made fun obama use dialect use video hed excori wor',1,1,6,4,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,75,pro_romney,0,'dancwn obama war children women conserv tcot teaparti p2 zqrn',1,0,0,0,1,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,132,pro_obama,0,'pourmecoffe obama throw mitt entir debat yoda voic readi know readi four yea ? ?',0,3,5,0,3,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,86,pro_romney,0,'twitter polit index octob 2 2012 barackobama 25 mittromney 32 twindex',0,0,1,1,1,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,52,pro_romney,0,'romney give major foreign polici speech next week',0,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,92,pro_obama,0,'barackobama thi elect import sit regist vote befor late',0,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
0,107,pro_romney,0,'worldnew news insid romney debat prep cnn dana bash look mitt romney debat prep speak exclu',1,0,2,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,31,pro_obama,0,'obama snap romney 9pm',0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,138,pro_obama,0,'ask mani romney support decis get differ variat obama suck straight fact ignor',2,1,4,3,3,5,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,130,pro_obama,0,'homerjsimpson advic romney tonight fake nose bleed run drive away alway work teacher conferen',2,2,5,2,1,3,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0
0,126,pro_romney,0,'katyinindi id suggest take drink everi obama lie wed pass 20 minut amp miss debat cantaff !',2,0,7,4,0,5,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,71,pro_romney,0,'msbammb obama look play word search aint hear romney',0,1,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,127,pro_romney,0,'prettynitemare_ obama got nigga hang infront ga station n liquor store watch debat see chang ! ! !',1,2,4,2,0,8,3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0,13,pro_obama,1,'obama g lol',0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,70,pro_obama,0,'4more retweet want four year presid obama debates!',0,1,2,0,1,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,128,pro_romney,0,'jessiemcmullen obama care lazi work decid 7 kid cant take care oh well ?',1,1,5,0,1,3,1,2,1,0,0,0,1,0,3,1,3,0,0,0,0,0,0,0,0
2,127,pro_romney,0,'great job romney wonder job highlight debat wa onli one nobama romney2012!',0,2,4,3,3,4,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,13,pro_romney,0,'obama goof',0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112,pro_romney,0,'ewerickson obama wouldnt look romney like wouldnt look wa go libya meek distract',0,2,7,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,85,pro_obama,0,'think romney destroy obama tonight wait ryan debat biden debat',0,1,3,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,99,pro_romney,0,'romney black think belief would stay would still teamobama ? ?',0,2,7,2,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,54,pro_romney,0,'princessfatimaa catch ball mitt romney',0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,64,pro_obama,0,'simplyyair obama address nation romney address obama',0,0,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,128,pro_obama,0,'elayneboosl romney repeat endlessli govt shouldnt make ur health care decis 4 u whi didnt obama say u mean unless',0,2,6,1,0,3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,118,pro_romney,0,'politico cnn best advic obama leader free world hold hi head high debat denverdeb obama2012!',0,0,1,3,3,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,132,pro_romney,0,'whoaadurrmollz realiz teenag kid like obama know noth want hear peopl know',0,4,5,1,0,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
1,141,pro_obama,0,'maddow romney definit ha ball look 50 million peopl eye say altogeth 24 cent hr china fair wage ! ? ?',0,0,4,2,1,6,3,3,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0
1,130,pro_obama,0,'mpoindc iron thing romney succeed embrac essenc specif obama plan hc educ',1,1,3,1,1,6,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1,107,pro_obama,0,'boil thi alway romney say anyth win elect reason tonight obama',0,2,4,2,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
0,41,pro_obama,0,'romney bag last minut flight',0,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,63,pro_romney,0,'romney win big first debat obama toast mitt smoke',0,1,3,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,133,pro_obama,0,'michaelianblack thought presid obama miss sever opportun call mitt romney douchebag throughout debat',2,1,3,2,1,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,70,pro_romney,0,'capflowwatch romney win debat obama lehrer big bird tcot',0,0,2,0,1,3,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,126,pro_romney,0,'elishanew liber want blame anyon obama beat last night blame bush whi obama show deb ?',2,1,5,0,1,3,1,5,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
0,86,pro_obama,0,'classycouturexo cant watch thi shit anymor romney facial express disgust',2,2,3,1,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
0,32,pro_romney,0,'therealgdubya romney 1 obama 0',0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,127,pro_romney,0,'mmurraypolit exampl im go cut educ fund romney agreement hi medicar plan mean vouch',0,0,4,1,1,6,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,56,pro_obama,0,'obama lose say move europ nigga pari !',1,2,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57,pro_romney,0,'michellemalkin jammiewf obama debat word cloud ouch',1,0,2,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,80,pro_obama,0,'blgblrd break leak photo mitt romney abus anoth bird cc theedshow!',1,0,3,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66,pro_romney,0,'heyitsabear 3 cheer obama one term presid romney2012! !',0,0,0,0,0,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,70,pro_obama,0,'im run presid pete sake cant illeg mitt romney',0,1,3,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,124,pro_romney,0,'obsoletedogma lol trish_regan team market analyst say romney debat perform sent dow',0,1,3,2,0,5,0,3,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
0,129,pro_romney,0,'aceofspadeshq media blame failur job romney obama feed line buy romney',1,3,4,4,0,4,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,122,pro_obama,0,'mgwinchel maxonmovi mayb obama could spit full sentenc onc would one side',0,1,5,2,1,2,0,3,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0
1,139,pro_obama,0,'romney somehow miracul avoid put place tax cut add deficit ill dye hair pink chang name kiko',0,0,5,4,1,6,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1,45,pro_obama,0,'wholiedtoy said romney wasnt gonna win',0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,118,pro_obama,0,'edshow barackobama cant believ peopl give romney win lie contradict sad ! !',2,3,6,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
0,93,pro_romney,0,'romneyrespons video obama campaign admit 5 trillion tax cut attack fals tcot',2,0,2,2,1,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,131,pro_obama,0,'lenadunham romney seem alert last night onli becaus get sit around day hi hair obama',0,1,6,2,2,3,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,58,pro_obama,0,'truthteam2012 presid obama mitt romney prioriti',0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,111,pro_romney,0,'romney gain ground obama strong debat bump plan like ani bump road via yahoonew',2,0,2,4,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71,pro_romney,0,'breitbartnew cutter conced 5 trillion attack romney true',1,0,2,0,1,2,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
0,116,pro_romney,0,'stephenfhay amandacarpent funni pb wasnt nearli hostil obama debt commish suggest cut fund',3,0,3,0,2,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,93,pro_obama,0,'stephenathom im concern next debat obama final show first debat',1,0,3,2,2,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,132,pro_obama,0,'peopl like romney ignor debat rule cut presid could confirm pompou ass ?',1,1,5,2,2,5,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
2,104,pro_obama,0,'thenewd mitt romney debat love great teacher mitt romney june need fewer teacher rt',0,2,4,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,pro_romney,0,'romney floor obama first debat',0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,98,pro_romney,0,'great anoth veil obama onli got elect becaus black piec nation guilti conscienc',1,0,2,1,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,131,pro_romney,0,'joenbc littl shock jmeachum whi doe presid obama look mad even passiv black man cant escap stereotyp wow ?',4,0,5,1,5,3,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
0,62,pro_romney,0,'comrad obama dream hi real father communist frank davi',0,0,0,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,86,pro_obama,0,'bardorobot wa one romney lay thick ridicul promis !',1,2,3,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,24,pro_obama,0,'obama phone ladi remix !',0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,128,pro_romney,0,'delrays dont know whi anyon would believ today job number everybodi know obama pal around errorist ugh unfollow!',1,0,6,0,0,6,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,86,pro_obama,0,'trendysocialit say obama underestim romney underestim obama',0,2,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,74,pro_obama,0,'dearobama yu win throw parti dat pussi ass nigga mitt romney',0,2,2,2,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,97,pro_obama,0,'stevebenen romney top 50 brazen falsehood week easili biggest list 2012',1,0,0,2,3,3,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
0,123,pro_obama,0,'barackobama black guy mitt romney commerci lv got jail dy ago romney bail ?',0,1,4,2,2,6,1,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0
0,130,pro_romney,0,'davidaxelrod brutal summer heat yield season temp elect loom real rig data pro obama weath',1,1,5,0,2,5,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
0,60,pro_obama,0,'obama couldnt run lemonad stand romney debat suckstosuck',0,0,3,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,128,pro_obama,0,'barackobama agre weve come far let mitt romney take us back top polici caus econo',0,2,5,2,1,3,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
1,130,pro_obama,0,'diegouk took republican 8 year crash economi presid obama 3 1 2 year clean mess forward obama p2 c',2,1,4,2,0,5,0,3,0,0,0,0,4,0,0,1,1,0,2,1,0,0,0,0,0
0,128,pro_obama,0,'imtracymorgan obama probabl call romney said dont see hate outsid white hous cant even get',1,3,8,1,1,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
1,94,pro_obama,0,'michelleobama thi elect import sit regist vote befor late',0,0,4,1,2,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
0,124,pro_obama,0,'lolgop democrat think romney liar republican think obama liar differ democrat actual exampl',2,0,6,3,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,137,pro_obama,0,'think left forget romney bain shark attack said shark back colleg mean gut peopl lost 30 yr pension',4,5,8,0,0,6,0,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
0,81,pro_romney,0,'moxiemom iowahawkblog moxiemom puppet altern spell barack obama',1,0,1,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,143,pro_obama,0,'victoriaokan susan rice claim libya attack spontan amp movi admin knew wa terror romney liar unbeliev ! !',4,1,4,1,2,7,2,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0,30,pro_obama,0,'lmao_twitp romney vs obama',0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,130,pro_obama,0,'_shelovesdk rft bravopost romney said go parent colleg money bitch cant even get 5 mom make',1,3,6,2,0,5,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,59,pro_obama,0,'thank autotimelin give k barack obama !',0,2,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97,pro_romney,0,'big super pac donor obama look like took million spent weed via sharethi',1,2,3,2,2,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,90,pro_obama,0,'theofficialtreb romney cant even name 5 ramen noodl flavor doesnt know struggl',1,1,3,1,0,5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,69,pro_obama,0,'_followbrennon obama vs romney retweet obama favorit obama',0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,95,pro_romney,0,'nationaljourn gingrich clint eastwood empti chair symbol obama debat perform',0,0,1,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,138,pro_romney,0,'see movi obama 2016 factual one measur might factual havent heard ani rebutt fr obama chicago hdqtr',0,4,7,1,2,4,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
0,139,pro_romney,0,'purduepetesgirl obama embarrass ani american vet know amp commun disgust hi polici',2,1,5,4,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,103,pro_obama,0,'blue virginia end mitt romney quest presid end presidenti debat',0,0,0,4,2,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
