% Twitter Data
@RELATION tweets

@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE . NUMERIC
@ATTRIBUTE : NUMERIC
@ATTRIBUTE ) NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE CC NUMERIC
@ATTRIBUTE CD NUMERIC
@ATTRIBUTE DT NUMERIC
@ATTRIBUTE EX NUMERIC
@ATTRIBUTE FW NUMERIC
@ATTRIBUTE IN NUMERIC
@ATTRIBUTE JJ NUMERIC
@ATTRIBUTE JJR NUMERIC
@ATTRIBUTE JJS NUMERIC
@ATTRIBUTE LS NUMERIC
@ATTRIBUTE MD NUMERIC
@ATTRIBUTE NN NUMERIC
@ATTRIBUTE NNP NUMERIC
@ATTRIBUTE NNS NUMERIC
@ATTRIBUTE PDT NUMERIC
@ATTRIBUTE POS NUMERIC
@ATTRIBUTE PRP NUMERIC
@ATTRIBUTE PRP$ NUMERIC
@ATTRIBUTE RB NUMERIC
@ATTRIBUTE RBR NUMERIC
@ATTRIBUTE RBS NUMERIC
@ATTRIBUTE RP NUMERIC
@ATTRIBUTE SYM NUMERIC
@ATTRIBUTE TO NUMERIC
@ATTRIBUTE UH NUMERIC
@ATTRIBUTE VB NUMERIC
@ATTRIBUTE VBD NUMERIC
@ATTRIBUTE VBG NUMERIC
@ATTRIBUTE VBN NUMERIC
@ATTRIBUTE VBP NUMERIC
@ATTRIBUTE VBZ NUMERIC
@ATTRIBUTE WDT NUMERIC
@ATTRIBUTE WP NUMERIC
@ATTRIBUTE WP$ NUMERIC
@ATTRIBUTE WRB NUMERIC
@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE text STRING
@ATTRIBUTE negative_words NUMERIC

@DATA
1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_obama,128,'fivethirtyeight weird poll day raw number decent romney except nh poll howev within poll trend',1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,68,'cps3indi ahmalcolm big reason whi everyon vote romney !',0
1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,pro_romney,126,'ingrahamangl believ almost noth obama wed nite wd lead journalist say lost romney',1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pro_romney,119,'joshgreenman knew gov romney serv gov romney gov romney wa friend mine mr presid im gov romney',0
0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,pro_romney,99,'kitamelendez kill shit osama run shit obama bitch drama fuck yo bitch babymamaaaaa !',5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,30,'obama lie support clueless',2
1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,pro_obama,135,'krmullins1964 romney admit ha disdain 47 american peopl say victim hi work translat need',1
0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,132,'krystalball1 eastwood use chair gop convent invis obama mitt use invis mic debat lol?',2
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,109,'naomiaklein u n address wikileak julian assang urg obama admin end regim secreci democracynow',0
0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_obama,66,'new post obama romney rake million small dollar donat',0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,pro_obama,132,'ingrahamangl feel romney media bash amp bia might done might much 2 overcom',2
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,63,'rahn vote obama vote recess washington time',1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_obama,50,'romney amp obama stock market killer economi',0
1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_obama,103,'capflowwatch us govt employe among top campaign contributor obama tcot taker vs maker',0
0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_obama,104,'abcmsaj dloesch screencap obama campaign ladypart tumblr gt gt see noth wrong thi ?',1
2,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,pro_obama,119,'seanhann obama said mr romney good debat 1000 h wood fiction writer make obama look like masterbat',1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,pro_obama,126,'kasinca bjhare dailyko supris r romney tri find someth even cre',0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,pro_obama,127,'grainofsand romney ha idea hell talk debat gonna like watch snl skit obama play',1
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,109,'loudobbsnew reckless obama admin diplomat ask repeatedli secur befor libya attack fox news',2
0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,pro_romney,133,'chucknelli realiz obama tell defens contractor issu pink slip til 11 7 offer cover legal issu',2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_obama,61,'itsblackstewi mitt romney might well vote obama',0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_obama,74,'fuck ndaarul thank obama may sway vote',0
3,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,pro_romney,128,'loudobbsnew nation media refus vet obama 2008 better hope romney gop strong enough take obama record amp',1
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,pro_romney,131,'notcommonfact presid obama wa known heavi marijuana smoker hi teen colleg day hi nicknam allegedli use',0
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pro_romney,103,'charlesdharapak look worker chipotl pose mitt romney dure lunch stop denver via ap!',0
1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_romney,83,'kelso_parodi obama realli like coca cola fox news obama declar war pepsi',0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_obama,105,'mitt romney bain capit ship job china right profit watch thi video',0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_romney,84,'redsteez wonder gabbi gifford think obama bullet analog newcivilton',0
1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pro_obama,128,'noltenc hi howardkurtz would love link yer noth see stori romney prep school bulli amp perri 25',1
2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,pro_obama,126,'supermanhotmal hey romney want peopl like give money plan parenthood well think not?',0
1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,pro_obama,120,'im laugh think obama better romney suck rule castro know wassup',1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,98,'libertylynx abcnew obama pander anim slaughter innoc name god',2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,34,'conserv seiz obama video',0
0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,pro_romney,127,'howardkurtz boy report sure lousi job cover 2007 obama speech wa deliv front tv camera',1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pro_obama,80,'mit romney wa get pay somehow within 28 year call bs thatsjustm',1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,pro_obama,134,'girafff respect someon go vote romney doesnt even know hi full name mittin gonzalez romney iii',0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pro_romney,127,'crush dont americannot limbaugh said slip mind becaus look obama tcot ?',1
0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_romney,119,'reagancoalit articl elect 2008 interview cnn shock black wont vote obama fastandfuri cspan2012',1
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_obama,100,'richard never work meet richard hay pick mitt romney trash 1u p2 via afscm',1
0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_obama,100,'olddog_1946 parti voter fraud 1000 fake republican regist romney amp gop !',2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,39,'matalin ann romney soul campaign',0
1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,113,'dont normal agre w biden right middl class buri last four year obama outfrontcnn msnbc',0
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_obama,109,'liliaep pb star jim lehrer fair romney want zero pb subsidi presidentiald ?',0
1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,pro_obama,129,'soopermexican ani white conserv made fun obama use dialect use video hed excori wor',1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_romney,75,'dancwn obama war children women conserv tcot teaparti p2 zqrn',1
2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,pro_obama,132,'pourmecoffe obama throw mitt entir debat yoda voic readi know readi four yea ? ?',0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pro_romney,86,'twitter polit index octob 2 2012 barackobama 25 mittromney 32 twindex',0
0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_romney,52,'romney give major foreign polici speech next week',0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_obama,92,'barackobama thi elect import sit regist vote befor late',0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,107,'worldnew news insid romney debat prep cnn dana bash look mitt romney debat prep speak exclu',1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pro_obama,31,'obama snap romney 9pm',0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,pro_obama,138,'ask mani romney support decis get differ variat obama suck straight fact ignor',2
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,pro_obama,130,'homerjsimpson advic romney tonight fake nose bleed run drive away alway work teacher conferen',2
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,pro_romney,126,'katyinindi id suggest take drink everi obama lie wed pass 20 minut amp miss debat cantaff !',2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,pro_romney,71,'msbammb obama look play word search aint hear romney',0
0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,pro_romney,127,'prettynitemare_ obama got nigga hang infront ga station n liquor store watch debat see chang ! ! !',1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_obama,13,'obama g lol',0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,pro_obama,70,'4more retweet want four year presid obama debates!',0
2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pro_romney,128,'jessiemcmullen obama care lazi work decid 7 kid cant take care oh well ?',1
2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pro_romney,127,'great job romney wonder job highlight debat wa onli one nobama romney2012!',0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,13,'obama goof',0
1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,pro_romney,112,'ewerickson obama wouldnt look romney like wouldnt look wa go libya meek distract',0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,pro_obama,85,'think romney destroy obama tonight wait ryan debat biden debat',0
0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,pro_romney,99,'romney black think belief would stay would still teamobama ? ?',0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_romney,54,'princessfatimaa catch ball mitt romney',0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_obama,64,'simplyyair obama address nation romney address obama',0
0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,pro_obama,128,'elayneboosl romney repeat endlessli govt shouldnt make ur health care decis 4 u whi didnt obama say u mean unless',0
2,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,118,'politico cnn best advic obama leader free world hold hi head high debat denverdeb obama2012!',0
1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,pro_romney,132,'whoaadurrmollz realiz teenag kid like obama know noth want hear peopl know',0
1,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,pro_obama,141,'maddow romney definit ha ball look 50 million peopl eye say altogeth 24 cent hr china fair wage ! ? ?',0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,pro_obama,130,'mpoindc iron thing romney succeed embrac essenc specif obama plan hc educ',1
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,pro_obama,107,'boil thi alway romney say anyth win elect reason tonight obama',0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_obama,41,'romney bag last minut flight',0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,63,'romney win big first debat obama toast mitt smoke',0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,pro_obama,133,'michaelianblack thought presid obama miss sever opportun call mitt romney douchebag throughout debat',2
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_romney,70,'capflowwatch romney win debat obama lehrer big bird tcot',0
0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,pro_romney,126,'elishanew liber want blame anyon obama beat last night blame bush whi obama show deb ?',2
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pro_obama,86,'classycouturexo cant watch thi shit anymor romney facial express disgust',2
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,32,'therealgdubya romney 1 obama 0',0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,pro_romney,127,'mmurraypolit exampl im go cut educ fund romney agreement hi medicar plan mean vouch',0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pro_obama,56,'obama lose say move europ nigga pari !',1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,57,'michellemalkin jammiewf obama debat word cloud ouch',1
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_obama,80,'blgblrd break leak photo mitt romney abus anoth bird cc theedshow!',1
0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,66,'heyitsabear 3 cheer obama one term presid romney2012! !',0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_obama,70,'im run presid pete sake cant illeg mitt romney',0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,pro_romney,124,'obsoletedogma lol trish_regan team market analyst say romney debat perform sent dow',0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,pro_romney,129,'aceofspadeshq media blame failur job romney obama feed line buy romney',1
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_obama,122,'mgwinchel maxonmovi mayb obama could spit full sentenc onc would one side',0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,pro_obama,139,'romney somehow miracul avoid put place tax cut add deficit ill dye hair pink chang name kiko',0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,pro_obama,45,'wholiedtoy said romney wasnt gonna win',0
1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pro_obama,118,'edshow barackobama cant believ peopl give romney win lie contradict sad ! !',2
0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,pro_romney,93,'romneyrespons video obama campaign admit 5 trillion tax cut attack fals tcot',2
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,pro_obama,131,'lenadunham romney seem alert last night onli becaus get sit around day hi hair obama',0
